Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -V -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 4 -stddev-prec 4 -col-name-width 0 -row-name-width 25 -mean-width 0 -stddev-width 0 -sig-width 0 -count-width 0 -show-stddev -print-row-names -enum-col-names"
Analysing:  F_measure
Datasets:   95
Resultsets: 3
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       2022-12-02, 8:15 a.m.


Dataset,[3],'',[1],'','',[2],'',''
S04.c4-6-QST-12,0.7152,0.0708,0.7235,0.0738,' ',0.7055,0.0780,' '
S04.c4-6-QST-13,0.7662,0.0557,0.7357,0.0799,' ',0.7085,0.0773,' '
S04.c4-6-QST-14,0.7671,0.0460,0.7387,0.0747,' ',0.7094,0.0861,' '
S04.c4-6-QST-15,0.7666,0.0582,0.7288,0.0825,' ',0.7301,0.0795,' '
S04.c4-6-QST-16,0.7683,0.0722,0.7139,0.0987,' ',0.7151,0.0929,' '
S04.c4-6-QST-17,0.7603,0.0826,0.6865,0.0976,' ',0.7023,0.0980,' '
S04.c4-6-QST-18,0.7535,0.0729,0.7042,0.0983,' ',0.7530,0.0823,' '
S04.c4-6-QST-19,0.7454,0.0921,0.6846,0.1057,' ',0.7325,0.0938,' '
S04.c4-6-QST-20,0.7453,0.0867,0.6862,0.1185,' ',0.7434,0.0929,' '
S04.c4-9-ALL-02,0.7682,0.0189,0.7849,0.0206,v,0.7155,0.0247,*
S04.c4-9-ALL-03,0.7606,0.0222,0.7791,0.0282,' ',0.7060,0.0356,*
S04.c4-9-ALL-04,0.7893,0.0175,0.7661,0.0333,' ',0.7108,0.0458,*
S04.c4-9-ALL-05,0.7757,0.0284,0.7471,0.0397,' ',0.7001,0.0516,*
S04.c4-9-ALL-06,0.7731,0.0214,0.7543,0.0495,' ',0.6991,0.0533,*
S04.c4-9-ALL-07,0.7665,0.0366,0.7718,0.0506,' ',0.7225,0.0545,' '
S04.c4-9-ALL-08,0.7384,0.0397,0.7493,0.0582,' ',0.7048,0.0644,' '
S04.c4-9-ALL-09,0.7610,0.0467,0.7342,0.0704,' ',0.7040,0.0729,' '
S04.c4-9-ALL-10,0.7852,0.0488,0.7177,0.0640,*,0.6981,0.0774,*
S04.c4-9-ALL-11,0.7229,0.0617,0.7103,0.0780,' ',0.6850,0.0639,' '
S04.c4-9-ALL-12,0.7408,0.0775,0.7090,0.0765,' ',0.6730,0.0842,' '
S04.c4-9-ALL-13,0.7489,0.0437,0.7069,0.0982,' ',0.6982,0.0879,' '
S04.c4-9-ALL-14,0.7554,0.0465,0.7114,0.0990,' ',0.7296,0.0844,' '
S04.c4-9-ALL-15,0.7575,0.0482,0.6959,0.1062,' ',0.7273,0.0865,' '
S04.c4-9-ALL-16,0.7587,0.0690,0.6854,0.1074,' ',0.7080,0.0957,' '
S04.c4-9-ALL-17,0.7489,0.0728,0.6721,0.1192,' ',0.7409,0.0807,' '
S04.c4-9-ALL-18,0.7366,0.0807,0.7282,0.1142,' ',0.7070,0.0961,' '
S04.c4-9-ALL-19,0.7330,0.0891,0.7180,0.1127,' ',0.7218,0.0880,' '
S04.c4-9-ALL-20,0.7405,0.0868,0.7187,0.1221,' ',0.7378,0.1171,' '
'[v/ /*]','','','','',[9/84/2],'','',[0/71/24]


Key,
[1],'functions.Logistic \'-R 1.0E-8 -M -1 -num-decimal-places 4\' 3932117032546553727'
[2],'trees.J48 \'-C 0.25 -M 2\' -217733168393644444'
[3],'rules.OneR \'-B 6\' -3459427003147861443'

